Console output now writes to ColorDTest.txt and can be found at /home/pi/Chromostat/ColorDTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete


Mode  Time  Red  Green  Blue
T     988     42   1468   1352
T     989     42   1468   1353
T     990     42   1467   1353
T     991     48   1474   1364
T     992     42   1467   1352
T     993     45   1471   1358
T     994     42   1467   1353
T     995     43   1468   1355
T     996     42   1467   1352
T     997     42   1467   1352
T     998     42   1467   1353
T     999     42   1467   1353
T     1000     41   1465   1352
T     1001     47   1463   1351
T     1002     42   1466   1353
T     1003     41   1465   1352
T     1004     43   1468   1353
T     1005     42   1466   1352
T     1006     42   1467   1353
T     1007     42   1466   1352
T     1008     42   1467   1353
T     1009     42   1466   1352
T     1010     42   1466   1352
T     1011     43   1468   1355
T     1012     42   1466   1352
T     1013     42   1467   1352
T     1014     42   1466   1354
T     1015     42   1466   1352
T     1016     42   1466   1353
T     1017     44   1468   1356
T     1018     42   1466   1353
T     1019     43   1467   1353
T     1020     42   1466   1352
T     1021     41   1466   1352
T     1022     42   1467   1352
T     1023     45   1470   1358
T     1024     42   1467   1351
T     1025     42   1467   1352
T     1026     42   1467   1351
T     1027     45   1470   1357
T     1028     42   1467   1352
T     1029     42   1468   1352
T     1030     42   1467   1351
T     1031     47   1472   1360
T     1032     42   1466   1352
T     1033     49   1475   1364
T     1034     42   1467   1351
T     1035     47   1473   1362
T     1036     42   1468   1352
T     1037     48   1475   1364
T     1038     42   1467   1351
T     1039     49   1476   1363
T     1040     42   1468   1350
T     1041     44   1470   1356
T     1042     42   1466   1350
T     1043     42   1468   1350
T     1044     42   1466   1350
T     1045     43   1469   1352
T     1046     42   1467   1351
T     1047     42   1467   1350
T     1048     41   1466   1350
T     1049     42   1467   1350
T     1050     41   1466   1350
T     1051     42   1467   1350
T     1052     42   1467   1350
T     1053     42   1467   1351
T     1054     48   1475   1363
T     1055     42   1467   1350
T     1056     45   1472   1357
T     1057     41   1467   1350
T     1058     47   1474   1361
T     1059     41   1467   1350
T     1060     48   1476   1363
T     1061     42   1467   1351
T     1062     44   1470   1356
T     1063     42   1467   1350
T     1064     42   1467   1351
T     1065     41   1466   1349
T     1066     45   1472   1358
T     1067     42   1467   1351
T     1068     45   1472   1358
T     1069     41   1467   1350
T     1070     49   1476   1364
T     1071     41   1466   1350
T     1072     41   1466   1350
